location,YearMonth,MonthlyCases,MonthlyDeaths,CumulativeCases,CumulativeDeaths,InfectionRate
"South Korea",2020-07,1486,19,14336,301,0.0300
"South Korea",2020-08,5846,23,20182,324,0.0400
"South Korea",2020-09,3707,91,23889,415,0.0500
"South Korea",2020-10,2746,51,26635,466,0.0500
"South Korea",2020-11,8017,60,34652,526,0.0700
"South Korea",2020-12,27117,391,61769,917,0.1200
"South Korea",2021-01,16739,508,78508,1425,0.1500
"South Korea",2021-02,11523,180,90031,1605,0.1800
"South Korea",2021-03,13608,130,103639,1735,0.2000
"South Korea",2021-04,18995,96,122634,1831,0.2400
"South Sudan",2020-04,35,NULL,35,NULL,0.0000
"South Sudan",2020-05,959,10,994,10,0.0100
"South Sudan",2020-06,1013,28,2007,38,0.0200
"South Sudan",2020-07,315,8,2322,46,0.0200
"South Sudan",2020-08,205,1,2527,47,0.0200
"South Sudan",2020-09,177,2,2704,49,0.0200
"South Sudan",2020-10,201,9,2905,58,0.0300
"South Sudan",2020-11,204,3,3109,61,0.0300
"South Sudan",2020-12,449,2,3558,63,0.0300
"South Sudan",2021-01,371,1,3929,64,0.0400
"South Sudan",2021-02,3997,29,7926,93,0.0700
"South Sudan",2021-03,2239,16,10165,109,0.0900
"South Sudan",2021-04,418,6,10583,115,0.0900
Spain,2020-02,45,NULL,45,NULL,0.0000
Spain,2020-03,95878,8464,95923,8464,0.2100
Spain,2020-04,117512,16079,213435,24543,0.4600
Spain,2020-05,26044,2584,239479,28752,0.5100
Spain,2020-06,9792,1228,249271,28355,0.5300
Spain,2020-07,39251,90,288522,28445,0.6200
Spain,2020-08,174336,649,462858,29094,0.9900
Spain,2020-09,306330,2697,769188,31791,1.6500
Spain,2020-10,416490,4087,1185678,35878,2.5400
Spain,2020-11,462509,9191,1648187,45069,3.5300
Spain,2020-12,280078,5768,1928265,50837,4.1200
Spain,2021-01,814854,7482,2743119,58319,5.8700
Spain,2021-02,445434,10823,3188553,69142,6.8200
Spain,2021-03,95800,6317,3284353,75459,7.0200
Spain,2021-04,239724,2757,3524077,78216,7.5400
"Sri Lanka",2020-01,1,NULL,1,NULL,0.0000
"Sri Lanka",2020-02,0,NULL,1,NULL,0.0000
"Sri Lanka",2020-03,142,2,143,2,0.0000
"Sri Lanka",2020-04,520,5,663,7,0.0000
"Sri Lanka",2020-05,970,3,1633,10,0.0100
"Sri Lanka",2020-06,414,1,2047,11,0.0100
"Sri Lanka",2020-07,768,0,2815,11,0.0100
"Sri Lanka",2020-08,234,1,3049,12,0.0100
"Sri Lanka",2020-09,331,1,3380,13,0.0200
"Sri Lanka",2020-10,7283,7,10663,20,0.0500
"Sri Lanka",2020-11,13324,98,23987,118,0.1100
"Sri Lanka",2020-12,19312,86,43299,204,0.2000
"Sri Lanka",2021-01,20858,112,64157,316,0.3000
"Sri Lanka",2021-02,18937,148,83094,464,0.3900
"Sri Lanka",2021-03,9612,104,92706,568,0.4300
"Sri Lanka",2021-04,15440,110,108146,678,0.5100
Sudan,2020-03,7,2,7,2,0.0000
Sudan,2020-04,368,29,375,31,0.0000
Sudan,2020-05,4425,255,4800,286,0.0100
Sudan,2020-06,4572,286,9372,572,0.0200
Sudan,2020-07,2207,174,11579,746,0.0300
Sudan,2020-08,1610,77,13189,823,0.0300
Sudan,2020-09,457,13,13646,836,0.0300
Sudan,2020-10,158,1,13804,837,0.0300
Sudan,2020-11,4241,412,18045,1249,0.0400
Sudan,2020-12,7455,219,25500,1468,0.0600
Sudan,2021-01,3880,339,29380,1807,0.0700
Sudan,2021-02,967,73,30347,1880,0.0700
Sudan,2021-03,1486,183,31833,2063,0.0700
Sudan,2021-04,2111,286,33944,2349,0.0800
Suriname,2020-03,9,NULL,9,NULL,0.0000
Suriname,2020-04,1,1,10,1,0.0000
Suriname,2020-05,13,0,23,1,0.0000
Suriname,2020-06,492,12,515,13,0.0900
Suriname,2020-07,1135,13,1650,26,0.2800
Suriname,2020-08,2384,45,4034,71,0.6900
Suriname,2020-09,843,33,4877,104,0.8300
Suriname,2020-10,326,7,5203,111,0.8900
Suriname,2020-11,109,6,5312,117,0.9100
Suriname,2020-12,898,5,6210,122,1.0600
Suriname,2021-01,2228,32,8438,154,1.4400
Suriname,2021-02,491,18,8929,172,1.5200
Suriname,2021-03,193,5,9122,177,1.5500
Suriname,2021-04,1241,27,10363,204,1.7700
Sweden,2020-02,14,NULL,14,NULL,0.0000
Sweden,2020-03,4820,385,4834,385,0.0500
Sweden,2020-04,16767,2201,21601,2586,0.2100
Sweden,2020-05,17060,1809,38661,4395,0.3800
Sweden,2020-06,29263,938,67924,5333,0.6700
Sweden,2020-07,9152,410,77076,5743,0.7600
Sweden,2020-08,7303,78,84379,5821,0.8400
Sweden,2020-09,8484,72,92863,5893,0.9200
Sweden,2020-10,31492,45,124355,5938,1.2300
Sweden,2020-11,118774,743,243129,6681,2.4100
Sweden,2020-12,194250,2046,437379,8727,4.3300
Sweden,2021-01,129578,2864,566957,11591,5.6100
Sweden,2021-02,90352,1235,657309,12826,6.5100
Sweden,2021-03,147577,639,804886,13465,7.9700
Sweden,2021-04,168718,583,973604,14048,9.6400
Switzerland,2020-02,18,NULL,18,NULL,0.0000
Switzerland,2020-03,16587,433,16605,433,0.1900
Switzerland,2020-04,12981,1304,29586,1737,0.3400
Switzerland,2020-05,1276,183,30862,1920,0.3600
Switzerland,2020-06,852,43,31714,1963,0.3700
Switzerland,2020-07,3518,18,35232,1981,0.4100
Switzerland,2020-08,6945,25,42177,2006,0.4900
Switzerland,2020-09,11105,68,53282,2074,0.6200
Switzerland,2020-10,100969,223,154251,2297,1.7800
Switzerland,2020-11,172821,2518,327072,4815,3.7800
Switzerland,2020-12,125224,2830,452296,7645,5.2300
Switzerland,2021-01,69024,1736,521320,9381,6.0200
Switzerland,2021-02,33612,585,554932,9966,6.4100
Switzerland,2021-03,46192,371,601124,10337,6.9500
Switzerland,2021-04,58850,295,659974,10632,7.6300
Syria,2020-03,10,2,10,2,0.0000
Syria,2020-04,33,1,43,3,0.0000
Syria,2020-05,79,2,122,5,0.0000
Syria,2020-06,157,4,279,9,0.0000
Syria,2020-07,478,34,757,43,0.0000
Syria,2020-08,2008,69,2765,112,0.0200
Syria,2020-09,1435,88,4200,200,0.0200
Syria,2020-10,1528,88,5728,288,0.0300
Syria,2020-11,2159,129,7887,417,0.0500
Syria,2020-12,3547,294,11434,711,0.0700
Syria,2021-01,2614,210,14048,921,0.0800
Syria,2021-02,1540,106,15588,1027,0.0900
Syria,2021-03,3321,238,18909,1265,0.1100
Syria,2021-04,3824,327,22733,1592,0.1300
Taiwan,2020-01,9,NULL,10,NULL,0.0000
Taiwan,2020-02,29,1,39,1,0.0000
Taiwan,2020-03,283,4,322,5,0.0000
Taiwan,2020-04,107,1,429,6,0.0000
Taiwan,2020-05,13,1,442,7,0.0000
Taiwan,2020-06,5,0,447,7,0.0000
Taiwan,2020-07,20,0,467,7,0.0000
Taiwan,2020-08,21,0,488,7,0.0000
Taiwan,2020-09,26,0,514,7,0.0000
Taiwan,2020-10,41,0,555,7,0.0000
Taiwan,2020-11,120,0,675,7,0.0000
Taiwan,2020-12,124,0,799,7,0.0000
Taiwan,2021-01,112,1,911,8,0.0000
Taiwan,2021-02,44,1,955,9,0.0000
Taiwan,2021-03,75,1,1030,10,0.0000
Taiwan,2021-04,98,2,1128,12,0.0000
Tajikistan,2020-04,15,NULL,15,NULL,0.0000
Tajikistan,2020-05,3915,47,3930,47,0.0400
Tajikistan,2020-06,1970,5,5900,52,0.0600
Tajikistan,2020-07,1509,8,7409,60,0.0800
Tajikistan,2020-08,1174,8,8583,68,0.0900
Tajikistan,2020-09,1186,8,9769,76,0.1000
Tajikistan,2020-10,1248,6,11017,82,0.1200
Tajikistan,2020-11,1177,4,12194,86,0.1300
Tajikistan,2020-12,1102,4,13296,90,0.1400
Tajikistan,2021-01,12,0,13308,90,0.1400
Tajikistan,2021-02,0,0,13308,90,0.1400
Tajikistan,2021-03,0,0,13308,90,0.1400
Tajikistan,2021-04,0,0,13308,90,0.1400
Tanzania,2020-03,19,1,19,1,0.0000
Tanzania,2020-04,461,15,480,16,0.0000
Tanzania,2020-05,29,5,509,21,0.0000
Tanzania,2020-06,0,0,509,21,0.0000
Tanzania,2020-07,0,0,509,21,0.0000
Tanzania,2020-08,0,0,509,21,0.0000
Tanzania,2020-09,0,0,509,21,0.0000
Tanzania,2020-10,0,0,509,21,0.0000
Tanzania,2020-11,0,0,509,21,0.0000
Tanzania,2020-12,0,0,509,21,0.0000
Tanzania,2021-01,0,0,509,21,0.0000
Tanzania,2021-02,0,0,509,21,0.0000
Tanzania,2021-03,0,0,509,21,0.0000
Tanzania,2021-04,0,0,509,21,0.0000
Thailand,2020-01,15,NULL,19,NULL,0.0000
Thailand,2020-02,23,NULL,42,NULL,0.0000
Thailand,2020-03,1609,10,1651,10,0.0000
Thailand,2020-04,1303,44,2954,54,0.0000
Thailand,2020-05,127,3,3081,57,0.0000
Thailand,2020-06,90,1,3171,58,0.0000
Thailand,2020-07,139,0,3310,58,0.0000
Thailand,2020-08,102,0,3412,58,0.0000
Thailand,2020-09,157,1,3569,59,0.0100
Thailand,2020-10,215,0,3784,59,0.0100
Thailand,2020-11,224,1,4008,60,0.0100
Thailand,2020-12,3155,3,7163,63,0.0100
Thailand,2021-01,12455,14,19618,77,0.0300
Thailand,2021-02,6413,6,26031,83,0.0400
Thailand,2021-03,2832,11,28863,94,0.0400
Thailand,2021-04,36290,109,65153,203,0.0900
Timor,2020-03,1,NULL,1,NULL,0.0000
Timor,2020-04,23,NULL,24,NULL,0.0000
Timor,2020-05,0,NULL,24,NULL,0.0000
Timor,2020-06,0,NULL,24,NULL,0.0000
Timor,2020-07,0,NULL,24,NULL,0.0000
Timor,2020-08,3,NULL,27,NULL,0.0000
Timor,2020-09,1,NULL,28,NULL,0.0000
Timor,2020-10,2,NULL,30,NULL,0.0000
Timor,2020-11,0,NULL,30,NULL,0.0000
Timor,2020-12,14,NULL,44,NULL,0.0000
Timor,2021-01,26,NULL,70,NULL,0.0100
Timor,2021-02,43,NULL,113,NULL,0.0100
Timor,2021-03,491,NULL,604,NULL,0.0500
Timor,2021-04,1672,3,2276,3,0.1700
Togo,2020-03,34,1,34,1,0.0000
Togo,2020-04,82,8,116,9,0.0000
Togo,2020-05,326,4,442,13,0.0100
Togo,2020-06,208,1,650,14,0.0100
Togo,2020-07,291,5,941,19,0.0100
Togo,2020-08,459,9,1400,28,0.0200
Togo,2020-09,384,20,1784,48,0.0200
Togo,2020-10,547,9,2331,57,0.0300
Togo,2020-11,643,7,2974,64,0.0400
Togo,2020-12,659,4,3633,68,0.0400
Togo,2021-01,1441,9,5074,77,0.0600
Togo,2021-02,1827,7,6901,84,0.0800
Togo,2021-03,3348,25,10249,109,0.1200
Togo,2021-04,2718,14,12967,123,0.1600
Tonga,2021-04,NULL,NULL,NULL,NULL,NULL
"Trinidad and Tobago",2020-03,87,3,87,3,0.0100
"Trinidad and Tobago",2020-04,29,5,116,8,0.0100
"Trinidad and Tobago",2020-05,1,0,117,8,0.0100
"Trinidad and Tobago",2020-06,13,0,130,8,0.0100
"Trinidad and Tobago",2020-07,39,0,169,8,0.0100
"Trinidad and Tobago",2020-08,1590,14,1759,22,0.1300
"Trinidad and Tobago",2020-09,2772,54,4531,76,0.3200
"Trinidad and Tobago",2020-10,1161,32,5692,108,0.4100
"Trinidad and Tobago",2020-11,977,12,6669,120,0.4800
"Trinidad and Tobago",2020-12,481,7,7150,127,0.5100
"Trinidad and Tobago",2021-01,414,7,7564,134,0.5400
"Trinidad and Tobago",2021-02,149,5,7713,139,0.5500
"Trinidad and Tobago",2021-03,313,3,8026,142,0.5700
"Trinidad and Tobago",2021-04,2798,27,10824,169,0.7700
Tunisia,2020-03,394,10,394,10,0.0000
Tunisia,2020-04,600,31,994,41,0.0100
Tunisia,2020-05,83,7,1077,48,0.0100
Tunisia,2020-06,97,2,1174,50,0.0100
Tunisia,2020-07,361,0,1535,50,0.0100
Tunisia,2020-08,2268,27,3803,77,0.0300
Tunisia,2020-09,14610,188,18413,265,0.1600
Tunisia,2020-10,41400,1052,59813,1317,0.5100
Tunisia,2020-11,36956,1943,96769,3260,0.8200
Tunisia,2020-12,42371,1416,139140,4676,1.1800
Tunisia,2021-01,69745,2078,208885,6754,1.7700
Tunisia,2021-02,24392,1247,233277,8001,1.9700
Tunisia,2021-03,20741,811,254018,8812,2.1500
Tunisia,2021-04,55101,1910,309119,10722,2.6200
Turkey,2020-03,13531,214,13531,214,0.0200
Turkey,2020-04,106673,2960,120204,3174,0.1400
Turkey,2020-05,43738,1366,163942,4540,0.1900
Turkey,2020-06,35964,591,199906,5131,0.2400
Turkey,2020-07,30967,560,230873,5691,0.2700
Turkey,2020-08,39260,679,270133,6370,0.3200
Turkey,2020-09,48530,1825,318663,8195,0.3800
Turkey,2020-10,56704,2057,375367,10252,0.4500
Turkey,2020-11,263480,3494,638847,13746,0.7600
Turkey,2020-12,746580,7135,2208652,20881,2.6200
Turkey,2021-01,268811,5112,2477463,25993,2.9400
Turkey,2021-02,224125,2576,2701588,28569,3.2000
Turkey,2021-03,615594,2968,3317182,31537,3.9300
Turkey,2021-04,1503409,8594,4820591,40131,5.7200
"Turks and Caicos Islands",2021-01,NULL,NULL,NULL,NULL,NULL
"Turks and Caicos Islands",2021-02,NULL,NULL,NULL,NULL,NULL
"Turks and Caicos Islands",2021-03,NULL,NULL,NULL,NULL,NULL
"Turks and Caicos Islands",2021-04,NULL,NULL,NULL,NULL,NULL
Uganda,2020-03,44,NULL,44,NULL,0.0000
Uganda,2020-04,39,NULL,83,NULL,0.0000
Uganda,2020-05,334,NULL,417,NULL,0.0000
Uganda,2020-06,472,NULL,889,NULL,0.0000
Uganda,2020-07,265,3,1154,3,0.0000
Uganda,2020-08,1818,29,2972,32,0.0100
Uganda,2020-09,5157,43,8129,75,0.0200
Uganda,2020-10,4366,36,12495,111,0.0300
Uganda,2020-11,7964,94,20459,205,0.0400
Uganda,2020-12,14757,46,35216,251,0.0800
Uganda,2021-01,4363,73,39579,324,0.0900
Uganda,2021-02,778,10,40357,334,0.0900
Uganda,2021-03,510,1,40867,335,0.0900
Uganda,2021-04,999,7,41866,342,0.0900
Ukraine,2020-03,645,17,645,17,0.0000
Ukraine,2020-04,9761,244,10406,261,0.0200
Ukraine,2020-05,13266,447,23672,708,0.0500
Ukraine,2020-06,21582,465,45254,1173,0.1000
Ukraine,2020-07,26150,544,71404,1717,0.1600
Ukraine,2020-08,52728,888,124132,2605,0.2800
Ukraine,2020-09,90314,1616,214446,4221,0.4900
Ukraine,2020-10,184884,3178,399330,7399,0.9100
Ukraine,2020-11,353013,5332,752343,12731,1.7200
Ukraine,2020-12,334654,6550,1086997,19281,2.4900
Ukraine,2021-01,174549,4579,1261546,23860,2.8800
Ukraine,2021-02,133982,3544,1395528,27404,3.1900
Ukraine,2021-03,329501,7052,1725029,34456,3.9400
Ukraine,2021-04,399041,11467,2124070,45923,4.8600
"United Arab Emirates",2020-01,4,NULL,4,NULL,0.0000
"United Arab Emirates",2020-02,17,NULL,21,NULL,0.0000
"United Arab Emirates",2020-03,643,6,664,6,0.0100
"United Arab Emirates",2020-04,11817,99,12481,105,0.1300
"United Arab Emirates",2020-05,22076,159,34557,264,0.3500
"United Arab Emirates",2020-06,14110,51,48667,315,0.4900
"United Arab Emirates",2020-07,11839,36,60506,351,0.6100
"United Arab Emirates",2020-08,9725,33,70231,384,0.7100
"United Arab Emirates",2020-09,23959,35,94190,419,0.9500
"United Arab Emirates",2020-10,38439,76,132629,495,1.3400
"United Arab Emirates",2020-11,36231,77,168860,572,1.7100
"United Arab Emirates",2020-12,38962,97,207822,669,2.1000
"United Arab Emirates",2021-01,95787,181,303609,850,3.0700
"United Arab Emirates",2021-02,87915,371,391524,1221,3.9600
"United Arab Emirates",2021-03,69920,276,461444,1497,4.6700
"United Arab Emirates",2021-04,58792,90,520236,1587,5.2600
"United Kingdom",2020-01,2,NULL,2,NULL,0.0000
"United Kingdom",2020-02,59,NULL,61,NULL,0.0000
"United Kingdom",2020-03,38754,2457,38815,2457,0.0600
"United Kingdom",2020-04,139956,24297,178771,26754,0.2600
"United Kingdom",2020-05,78768,10773,257539,37527,0.3800
"United Kingdom",2020-06,27677,2952,285216,40479,0.4200
"United Kingdom",2020-07,19577,795,304793,41274,0.4500
"United Kingdom",2020-08,33290,315,338083,41589,0.5000
"United Kingdom",2020-09,117765,644,455848,42233,0.6700
"United Kingdom",2020-10,558947,4412,1014795,46645,1.4900
"United Kingdom",2020-11,618941,11900,1633736,58545,2.4100
"United Kingdom",2020-12,862499,15077,2496235,73622,3.6800
"United Kingdom",2021-01,1331952,32745,3828187,106367,5.6400
"United Kingdom",2021-02,360640,16716,4188827,123083,6.1700
"United Kingdom",2021-03,171155,3872,4359982,126955,6.4200
"United Kingdom",2021-04,72264,820,4432246,127775,6.5300
"United States",2020-01,7,NULL,8,NULL,0.0000
"United States",2020-02,17,1,25,1,0.0000
"United States",2020-03,192276,5368,192301,5369,0.0600
"United States",2020-04,888719,60862,1081020,66231,0.3300
"United States",2020-05,717698,41602,1798718,107833,0.5400
"United States",2020-06,843456,19767,2642174,127600,0.8000
"United States",2020-07,1925246,26547,4567420,154147,1.3800
"United States",2020-08,1459475,29655,6026895,183802,1.8200
"United States",2020-09,1208533,23399,7235428,207201,2.1900
"United States",2020-10,1930191,24532,9165619,231733,2.7700
"United States",2020-11,4504713,39263,13670332,270996,4.1300
"United States",2020-12,6429031,81097,20099363,352093,6.0700
"United States",2021-01,6147690,97248,26247053,449341,7.9300
"United States",2021-02,2401691,65623,28648744,514964,8.6600
"United States",2021-03,1813466,37531,30462210,552495,9.2000
"United States",2021-04,1884761,23737,32346971,576232,9.7700
Uruguay,2020-03,338,1,338,1,0.0100
Uruguay,2020-04,305,16,643,17,0.0200
Uruguay,2020-05,180,5,823,22,0.0200
Uruguay,2020-06,113,5,936,27,0.0300
Uruguay,2020-07,328,8,1264,35,0.0400
Uruguay,2020-08,331,9,1595,44,0.0500
Uruguay,2020-09,451,4,2046,48,0.0600
Uruguay,2020-10,1078,10,3124,58,0.0900
Uruguay,2020-11,2733,19,5857,77,0.1700
Uruguay,2020-12,13262,104,19119,181,0.5500
Uruguay,2021-01,22619,255,41738,436,1.2000
Uruguay,2021-02,16256,172,57994,608,1.6700
Uruguay,2021-03,47555,366,105549,974,3.0400
Uruguay,2021-04,92879,1642,198428,2616,5.7100
Uzbekistan,2020-03,172,2,172,2,0.0000
Uzbekistan,2020-04,1867,7,2039,9,0.0100
Uzbekistan,2020-05,1584,6,3623,15,0.0100
Uzbekistan,2020-06,4880,11,8503,26,0.0300
Uzbekistan,2020-07,15506,115,24009,141,0.0700
Uzbekistan,2020-08,17884,179,41893,320,0.1300
Uzbekistan,2020-09,14824,150,56717,470,0.1700
Uzbekistan,2020-10,10215,96,66932,566,0.2000
Uzbekistan,2020-11,6162,44,73094,610,0.2200
Uzbekistan,2020-12,3966,4,77060,614,0.2300
Uzbekistan,2021-01,1651,7,78711,621,0.2400
Uzbekistan,2021-02,1215,1,79926,622,0.2400
Uzbekistan,2021-03,2943,7,82869,629,0.2500
Uzbekistan,2021-04,7939,20,90808,649,0.2700
Vanuatu,2020-11,1,NULL,1,NULL,0.0000
Vanuatu,2020-12,0,NULL,1,NULL,0.0000
Vanuatu,2021-01,0,NULL,1,NULL,0.0000
Vanuatu,2021-02,0,NULL,1,NULL,0.0000
Vanuatu,2021-03,2,NULL,3,NULL,0.0000
Vanuatu,2021-04,1,1,4,1,0.0000
Vatican,2020-03,6,NULL,6,NULL,0.7400
Vatican,2020-04,5,NULL,11,NULL,1.3600
Vatican,2020-05,1,NULL,12,NULL,1.4800
Vatican,2020-06,0,NULL,12,NULL,1.4800
Vatican,2020-07,0,NULL,12,NULL,1.4800
Vatican,2020-08,0,NULL,12,NULL,1.4800
Vatican,2020-09,0,NULL,12,NULL,1.4800
Vatican,2020-10,15,NULL,27,NULL,3.3400
Vatican,2020-11,0,NULL,27,NULL,3.3400
Vatican,2020-12,0,NULL,27,NULL,3.3400
Vatican,2021-01,0,NULL,27,NULL,3.3400
Vatican,2021-02,0,NULL,27,NULL,3.3400
Vatican,2021-03,0,NULL,27,NULL,3.3400
Vatican,2021-04,0,NULL,27,NULL,3.3400
Venezuela,2020-03,135,3,135,3,0.0000
Venezuela,2020-04,198,13,333,16,0.0000
Venezuela,2020-05,1177,-2,1510,14,0.0100
Venezuela,2020-06,4322,37,5832,51,0.0200
Venezuela,2020-07,12742,113,18574,164,0.0700
Venezuela,2020-08,28154,222,46728,386,0.1600
Venezuela,2020-09,28394,242,75122,628,0.2600
Venezuela,2020-10,16891,170,92013,798,0.3200
Venezuela,2020-11,10381,99,102394,897,0.3600
Venezuela,2020-12,11164,131,113558,1028,0.4000
Venezuela,2021-01,13369,161,126927,1189,0.4500
Venezuela,2021-02,12189,155,139116,1344,0.4900
Venezuela,2021-03,21381,258,160497,1602,0.5600
Venezuela,2021-04,37186,534,197683,2136,0.7000
Vietnam,2020-01,2,NULL,2,NULL,0.0000
Vietnam,2020-02,14,NULL,16,NULL,0.0000
Vietnam,2020-03,196,NULL,212,NULL,0.0000
Vietnam,2020-04,58,NULL,270,NULL,0.0000
Vietnam,2020-05,58,NULL,328,NULL,0.0000
Vietnam,2020-06,27,NULL,355,NULL,0.0000
Vietnam,2020-07,203,3,558,3,0.0000
Vietnam,2020-08,486,31,1044,34,0.0000
Vietnam,2020-09,50,1,1094,35,0.0000
Vietnam,2020-10,86,0,1180,35,0.0000
Vietnam,2020-11,167,0,1347,35,0.0000
Vietnam,2020-12,118,0,1465,35,0.0000
Vietnam,2021-01,352,0,1817,35,0.0000
Vietnam,2021-02,631,0,2448,35,0.0000
Vietnam,2021-03,155,0,2603,35,0.0000
Vietnam,2021-04,325,0,2928,35,0.0000
Yemen,2020-04,6,2,6,2,0.0000
Yemen,2020-05,317,78,323,80,0.0000
Yemen,2020-06,835,232,1158,312,0.0000
Yemen,2020-07,570,181,1728,493,0.0100
Yemen,2020-08,230,73,1958,566,0.0100
Yemen,2020-09,76,21,2034,587,0.0100
Yemen,2020-10,29,12,2063,599,0.0100
Yemen,2020-11,14,6,2077,605,0.0100
Yemen,2020-12,22,5,2099,610,0.0100
Yemen,2021-01,22,5,2121,615,0.0100
Yemen,2021-02,164,19,2285,634,0.0100
Yemen,2021-03,2072,254,4357,888,0.0100
Yemen,2021-04,1960,338,6317,1226,0.0200
Zambia,2020-03,35,NULL,35,NULL,0.0000
Zambia,2020-04,71,3,106,3,0.0000
Zambia,2020-05,951,4,1057,7,0.0100
Zambia,2020-06,537,17,1594,24,0.0100
Zambia,2020-07,4369,127,5963,151,0.0300
Zambia,2020-08,6134,137,12097,288,0.0700
Zambia,2020-09,2662,44,14759,332,0.0800
Zambia,2020-10,1673,17,16432,349,0.0900
Zambia,2020-11,1215,8,17647,357,0.1000
Zambia,2020-12,3078,31,20725,388,0.1100
Zambia,2021-01,33492,375,54217,763,0.2900
Zambia,2021-02,24317,328,78534,1091,0.4300
Zambia,2021-03,9884,117,88418,1208,0.4800
Zambia,2021-04,3168,43,91586,1251,0.5000
Zimbabwe,2020-03,8,1,8,1,0.0000
Zimbabwe,2020-04,32,3,40,4,0.0000
Zimbabwe,2020-05,138,0,178,4,0.0000
Zimbabwe,2020-06,413,3,591,7,0.0000
Zimbabwe,2020-07,2578,60,3169,67,0.0200
Zimbabwe,2020-08,3328,135,6497,202,0.0400
Zimbabwe,2020-09,1341,26,7838,228,0.0500
Zimbabwe,2020-10,529,15,8367,243,0.0600
Zimbabwe,2020-11,1583,33,9950,276,0.0700
Zimbabwe,2020-12,3917,87,13867,363,0.0900
Zimbabwe,2021-01,19521,854,33388,1217,0.2200
Zimbabwe,2021-02,2701,246,36089,1463,0.2400
Zimbabwe,2021-03,793,60,36882,1523,0.2500
Zimbabwe,2021-04,1375,44,38257,1567,0.2600
